iter	Passed	Remaining
939	26402	57861
940	26429	57829
941	26455	57797
942	26481	57765
943	26510	57738
944	26537	57707
945	26565	57679
946	26591	57647
947	26618	57616
948	26644	57583
949	26668	57547
950	26694	57514
951	26721	57483
952	26751	57460
953	26778	57431
954	26805	57399
955	26834	57375
956	26861	57343
957	26903	57346
958	26929	57313
959	26954	57278
960	26980	57245
961	27004	57209
962	27031	57178
963	27056	57144
964	27083	57114
965	27108	57079
966	27136	57051
967	27161	57017
968	27186	56981
969	27211	56948
970	27238	56917
971	27265	56887
972	27283	56839
973	27310	56807
974	27336	56776
975	27362	56743
976	27388	56711
977	27413	56677
978	27438	56643
979	27466	56613
980	27492	56582
981	27517	56548
982	27545	56520
983	27575	56496
984	27599	56459
985	27626	56429
986	27654	56400
987	27676	56361
988	27701	56327
989	27726	56293
990	27753	56263
991	27780	56232
992	27805	56198
993	27830	56164
994	27856	56133
995	27882	56101
996	27909	56071
997	27935	56039
998	27962	56008
999	27986	55973
1000	28011	55939
1001	28037	55906
1002	28064	55877
1003	28089	55843
1004	28115	55811
1005	28141	55778
1006	28165	55743
1007	28206	55740
1008	28233	55711
1009	28255	55671
1010	28282	55641
1011	28308	55610
1012	28334	55578
1013	28361	55548
1014	28386	55514
1015	28411	55481
1016	28439	55452
1017	28465	55421
1018	28494	55394
1019	28519	55361
1020	28545	55329
1021	28570	55295
1022	28596	55263
1023	28625	55237
1024	28653	55210
1025	28685	55189
1026	28710	55156
1027	28737	55126
1028	28763	55096
1029	28784	55054
1030	28813	55027
1031	28839	54996
1032	28865	54964
1033	28891	54932
1034	28917	54902
1035	28942	54868
1036	28968	54836
1037	28996	54809
1038	29023	54778
1039	29049	54746
1040	29075	54715
1041	29100	54682
1042	29125	54649
1043	29150	54615
1044	29176	54583
1045	29203	54553
1046	29227	54519
1047	29253	54487
1048	29278	54454
1049	29305	54424
1050	29329	54390
1051	29355	54357
1052	29379	54323
1053	29405	54291
1054	29431	54260
1055	29456	54227
1056	29483	54196
1057	29533	54210
1058	29564	54187
1059	29593	54161
1060	29619	54130
1061	29646	54100
1062	29674	54072
1063	29699	54040
1064	29725	54008
1065	29751	53976
1066	29775	53942
1067	29802	53912
1068	29829	53882
1069	29854	53850
1070	29884	53825
1071	29911	53796
1072	29936	53763
1073	29963	53732
1074	29990	53703
1075	30014	53669
1076	30041	53640
1077	30066	53607
1078	30093	53576
1079	30118	53544
1080	30146	53516
1081	30171	53482
1082	30200	53457
1083	30227	53427
1084	30253	53396
1085	30278	53363
1086	30305	53334
1087	30330	53301
1088	30356	53270
1089	30381	53237
1090	30407	53207
1091	30436	53180
1092	30460	53145
1093	30486	53114
1094	30512	53083
1095	30539	53054
1096	30564	53020
1097	30590	52989
1098	30614	52956
1099	30641	52926
1100	30667	52895
1101	30693	52864
1102	30720	52834
1103	30747	52805
1104	30771	52771
1105	30797	52740
1106	30833	52726
1107	30860	52696
1108	30887	52666
1109	30913	52636
1110	30942	52610
1111	30967	52577
1112	30995	52550
1113	31021	52520
1114	31049	52491
1115	31075	52460
1116	31100	52428
1117	31127	52399
1118	31152	52366
1119	31178	52335
1120	31203	52302
1121	31231	52275
1122	31257	52244
1123	31282	52211
1124	31307	52178
1125	31332	52146
1126	31358	52115
1127	31382	52082
1128	31407	52049
1129	31423	52002
1130	31448	51969
1131	31474	51937
1132	31498	51903
1133	31524	51873
1134	31553	51848
1135	31579	51817
1136	31607	51789
1137	31634	51759
1138	31660	51729
1139	31688	51702
1140	31717	51676
1141	31743	51645
1142	31769	51615
1143	31793	51581
1144	31819	51550
1145	31842	51514
1146	31867	51483
1147	31895	51454
1148	31919	51421
1149	31944	51388
1150	31970	51359
1151	31997	51329
1152	32023	51299
1153	32048	51267
1154	32074	51235
1155	32100	51204
1156	32126	51174
1157	32173	51177
1158	32202	51151
1159	32226	51118
1160	32253	51089
1161	32279	51057
1162	32304	51025
1163	32329	50993
1164	32356	50965
1165	32383	50935
1166	32409	50905
1167	32435	50874
1168	32460	50842
1169	32488	50814
1170	32515	50785
1171	32541	50756
1172	32568	50726
1173	32593	50694
1174	32618	50663
1175	32642	50629
1176	32669	50599
1177	32685	50554
1178	32709	50520
1179	32734	50489
1180	32757	50453
1181	32782	50421
1182	32805	50387
1183	32832	50358
1184	32860	50331
1185	32886	50300
1186	32912	50269
1187	32939	50240
1188	32965	50211
1189	32992	50182
1190	33018	50150
1191	33042	50117
1192	33068	50087
1193	33095	50058
1194	33120	50027
1195	33143	49991
1196	33169	49962
1197	33198	49936
1198	33222	49903
1199	33241	49861
1200	33266	49830
1201	33292	49799
1202	33317	49768
1203	33342	49737
1204	33367	49704
1205	33392	49674
1206	33419	49644
1207	33445	49614
1208	33476	49591
1209	33501	49560
1210	33529	49533
1211	33556	49504
1212	33583	49475
1213	33608	49444
1214	33635	49414
1215	33660	49383
1216	33685	49352
1217	33710	49320
1218	33735	49288
